"country","incomeperperson.x","internetuserate.x","urbanrate.x","Population..2020.","Yearly.Change","Net.Change","Density..P.Km².","Land.Area..Km².","Migrants..net.","Fert..Rate","Med..Age","Urban.Pop..","World.Share","incomeperperson.y","internetuserate.y","urbanrate.y","Overall.rank","Score","GDP.per.capita","Social.support","Healthy.life.expectancy","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","incomeperperson","internetuserate","urbanrate","Country.Code","Year","Value"
"Germany",25306.18719,82.52689791,73.64,83830972,"0.32 %",266897,240,348560,543822,"1.6","46","76 %","1.07 %",25306.18719,82.52689791,73.64,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,25306.18719,82.52689791,73.64,"DEU",2016,3477796274496.8
"Ghana",358.9795398,9.549930701,50.02,31181428,"2.15 %",655084,137,227540,-10000,"3.9","22","57 %","0.40 %",358.9795398,9.549930701,50.02,98,4.996,0.611,0.868,0.486,0.381,0.245,0.04,358.9795398,9.549930701,50.02,"GHA",2016,42689783733.873
"Greece",13577.87989,44.57007444,61,10413936,"-0.48 %",-50401,81,128900,-16000,"1.3","46","85 %","0.13 %",13577.87989,44.57007444,61,82,5.287,1.181,1.156,0.999,0.067,0,0.034,13577.87989,44.57007444,61,"GRC",2016,192690813126.86
"Guatemala",1860.753895,10.49994819,48.58,17971382,"1.90 %",334096,167,107160,-9215,"2.9","23","52 %","0.23 %",1860.753895,10.49994819,48.58,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,1860.753895,10.49994819,48.58,"GTM",2016,68763255963.8943
"Guinea",411.5014473,0.999958926,34.44,13191279,"2.83 %",361549,53,245720,-4000,"4.7","18","39 %","0.17 %",411.5014473,0.999958926,34.44,118,4.534,0.38,0.829,0.375,0.332,0.207,0.086,411.5014473,0.999958926,34.44,"GIN",2016,8200248003.02206
"Haiti",371.4241975,8.370206884,46.84,11426356,"1.24 %",139451,414,27560,-35000,"3.0","24","57 %","0.15 %",371.4241975,8.370206884,46.84,147,3.597,0.323,0.688,0.449,0.026,0.419,0.11,371.4241975,8.370206884,46.84,"HTI",2016,8022638721.92013
"Honduras",1392.411829,11.09076463,47.88,9931333,"1.63 %",158490,89,111890,-6800,"2.5","24","57 %","0.13 %",1392.411829,11.09076463,47.88,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,1392.411829,11.09076463,47.88,"HND",2016,21516938909.5686
"Hong Kong, China",35536.07247,71.84912394,100,7507523,"0.82 %",60827,7140,1050,29308,"1.3","45","N.A.","0.10 %",35536.07247,71.84912394,100,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,35536.07247,71.84912394,100,"HKG",2016,320914302646.157
"Hungary",5634.003948,65.16325092,67.5,9655983,"-0.25 %",-24328,107,90530,6000,"1.5","43","72 %","0.12 %",5634.003948,65.16325092,67.5,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,5634.003948,65.16325092,67.5,"HUN",2016,125816640420.569
"Iceland",33945.31442,95.63811321,92.26,341628,"0.65 %",2212,3,100250,380,"1.8","37","94 %","0.00 %",33945.31442,95.63811321,92.26,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,33945.31442,95.63811321,92.26,"ISL",2016,20047413006.3471
"India",786.7000981,7.499995878,29.54,1382345085,"0.99 %",13586631,464,2973190,-532687,"2.2","28","35 %","17.70 %",786.7000981,7.499995878,29.54,140,4.015,0.755,0.765,0.588,0.498,0.2,0.085,786.7000981,7.499995878,29.54,"IND",2016,2263792499341.01
